plateifu,n_chans,Ch0_MHz,ChanWid_KHz,-1000ind,+1000ind,cleanmask_radpix
7964-1902,1920,111331.547,976.562,1624,855,10
8080-3704,1920,111634.501,976.562,1669,897,14
8081-3702,1920,111334.328,976.562,1565,795,18
8083-12703,1920,111335.902,976.562,1599,829,36
8085-6104,1920,111736.191,976.562,1632,860,23
8086-3704,1920,109837.24,976.562,1372,614,14
8655-1902,1920,111530.891,976.562,1668,897,10
8655-3701,480,106631.179,3906.25,333,148,26
8939-3703,1920,111838.231,976.562,1596,823,15
8941-3701,1920,111090.043,976.562,1439,672,10
8982-6104,1920,110390.847,976.562,1344,582,19
9088-9102,1920,106389.17,976.562,924,193,54
9194-3702,1920,106734.47,976.562,951,217,25
9494-3701,1920,112288.321,976.562,1658,882,20
